language,iso,family,dominant,variation,serial,dominant_quantifiers,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,twenty,thirty,forty,several,few
Southwest Gbaya,gso,Atlantic-Congo,NNum,V,1/2,QuantN,483/82,27/112,11/73,7/43,9/35,4/11,8/77,5/6,0/0,5/20,0/6,5/66,1/8,0/7,2/19,72/28,1/0
Guajajára,gub,Bookkeeping,NumN,_,_,_,1063/70,440/37,292/15,128/23,95/19,66/8,301/12,28/6,17/1,133/12,17/1,86/15,75/3,61/2,85/2,60/66,3/1
Wayuu,guc,Arawakan,NumN,_,_,QuantN,451/9,87/20,50/5,27/1,30/4,7/0,59/10,4/1,0/0,15/5,2/3,31/21,0/0,6/0,30/0,49/11,1/1
Yocoboué Dida,gud,Atlantic-Congo,NNum,_,_,NQuant,68/230,33/99,13/70,7/45,12/34,3/9,13/72,2/6,1/4,5/20,1/6,30/49,1/7,0/7,5/16,20/59,0/3
Paraguayan Guaraní,gug,Tupian,NumN,_,_,QuantN,1287/102,183/51,115/9,56/5,73/9,17/3,106/11,14/0,0/1,33/5,6/8,70/37,2/1,9/8,29/1,174/11,5/0
Guahibo,guh,Guahiboan,NumN,V,X,QuantN,41/11,47/15,71/2,43/1,39/4,8/2,67/12,7/1,0/0,19/5,2/5,44/22,0/0,7/3,20/1,20/3,1/0
Eastern Bolivian Guaraní,gui,Tupian,NumN,V,X,QuantN,554/37,112/17,72/10,40/3,42/2,11/1,82/7,8/0,0/0,24/3,1/5,59/14,7/1,6/0,16/4,113/3,3/1
Gujarati,guj,Indo-European,NumN,_,_,QuantN,1802/124,510/30,313/19,161/16,140/17,91/2,351/9,33/1,17/0,171/12,20/0,122/29,107/1,80/2,93/1,202/10,12/0
Gumuz,guk,Gumuz,NNum,_,_,_,59/128,29/99,15/58,5/33,5/32,1/9,14/81,2/6,0/0,3/22,0/3,8/61,0/0,0/5,1/17,69/36,0/4
Sea Island Creole English,gul,Indo-European,NumN,_,_,QuantN,772/41,124/12,78/8,42/0,44/1,11/1,75/6,7/0,4/1,23/2,5/2,54/19,5/1,6/3,15/0,101/5,2/0
Guambiano,gum,Barbacoan,NumN,_,_,QuantN,590/46,102/18,60/4,34/2,39/1,5/1,52/21,8/0,0/0,15/7,6/1,44/13,1/1,7/3,11/5,51/15,2/2
Mbyá Guaraní,gun,Tupian,NumN,_,_,QuantN,567/33,111/22,70/7,44/5,39/4,10/2,76/11,8/0,1/1,24/2,3/3,55/19,9/1,7/3,21/0,72/13,5/0
Guayabero,guo,Guahiboan,NumN,_,_,QuantN,92/12,69/14,61/7,32/2,41/0,10/2,58/4,7/1,0/1,19/0,4/3,39/17,1/0,9/1,20/0,42/1,2/0
Aché,guq,Tupian,NumN,_,_,QuantN,311/42,99/36,71/6,50/1,38/6,10/1,77/8,7/1,2/1,21/2,2/2,37/16,6/1,6/2,22/2,41/19,1/2
Farefare,gur,Atlantic-Congo,NNum,_,_,NQuant,392/383,129/682,80/418,48/260,58/231,17/103,69/390,12/54,12/21,30/202,3/25,49/195,13/207,14/145,17/113,28/173,7/7
Gun,guw,Atlantic-Congo,NNum,_,_,NQuant,47/335,22/118,4/73,0/37,4/41,0/11,5/86,0/7,0/1,3/21,0/7,7/68,0/2,0/9,2/16,23/95,1/4
Gourmanchéma,gux,Atlantic-Congo,NNum,V,X,NQuant,283/59,31/93,14/61,10/13,9/33,0/13,15/54,4/4,1/1,3/22,2/5,54/19,7/1,1/9,4/16,12/58,0/2
Gusii,guz,Atlantic-Congo,NNum,_,_,NQuant,66/204,32/106,10/51,18/28,5/35,3/11,16/91,0/8,1/2,5/23,0/7,11/62,1/7,3/7,2/20,22/88,0/1
Guanano,gvc,Tucanoan,NumN,_,_,QuantN,94/28,101/17,69/4,37/2,40/1,8/1,69/3,6/1,0/1,21/2,5/1,60/6,2/1,9/1,18/1,66/9,0/1
Golin,gvf,Nuclear Trans New Guinea,NNum,_,_,NQuant,41/38,42/78,14/55,26/29,10/28,4/8,9/53,3/2,0/0,1/19,2/4,24/37,0/0,1/4,5/15,18/43,0/0
Gulay,gvl,Central Sudanic,NNum,_,_,NQuant,133/168,37/104,23/63,6/35,12/34,2/8,14/69,2/5,0/4,7/12,1/5,12/59,1/2,0/8,1/14,15/66,0/0
Kuku-Yalanji,gvn,Pama-Nyungan,_,V,X,_,156/39,51/48,53/27,8/14,6/20,5/6,33/41,4/3,0/1,6/10,2/2,28/16,4/1,2/4,10/2,16/15,0/1
Gwichʼin,gwi,Athabaskan-Eyak-Tlingit,_,V,X,_,111/97,47/67,33/39,17/12,19/21,2/5,28/56,2/4,0/0,9/15,2/4,30/23,2/0,6/2,9/6,34/32,1/1
Northwest Gbaya,gya,Atlantic-Congo,NNum,V,1/2,QuantN,1494/269,113/508,56/325,31/150,29/152,7/83,38/331,6/35,6/11,21/151,0/21,15/142,9/95,6/73,6/89,128/66,4/5
Ngäbere,gym,Chibchan,NNum,V,1/2,NQuant,97/47,41/71,30/36,14/32,13/28,4/4,24/54,1/3,0/4,3/20,3/4,29/25,1/6,4/1,10/20,24/37,0/0
Guarayu,gyr,Tupian,NumN,V,X,QuantN,989/109,315/66,200/26,107/6,122/9,25/9,224/21,26/2,0/3,80/14,7/15,125/46,15/3,16/14,59/6,196/23,8/0
Eastern Oromo,hae,Afro-Asiatic,NNum,_,_,NQuant,83/419,36/104,3/81,4/43,7/39,0/10,14/69,1/5,0/0,4/20,3/4,26/47,1/6,1/8,1/19,8/100,1/2
Hanga,hag,Atlantic-Congo,NNum,_,_,_,34/41,32/89,16/50,2/40,9/27,1/10,12/58,2/6,0/1,3/20,1/3,13/58,0/7,0/9,3/14,16/21,0/1
Hakka Chinese,hak,Sino-Tibetan,NumN,_,_,QuantN,449/47,97/15,41/11,32/3,38/4,3/0,77/4,2/2,1/0,19/0,7/1,44/13,7/1,5/0,14/2,95/9,2/0
Haitian,hat,Indo-European,NumN,_,_,QuantN,8516/297,1249/137,734/92,407/45,289/59,179/23,777/55,61/20,21/13,337/52,34/15,240/100,139/54,133/53,176/48,507/26,20/0
Hausa,hau,Afro-Asiatic,NNum,V,1/2,NQuant,443/173,25/112,7/76,8/43,8/37,1/11,11/80,0/8,0/1,5/20,0/6,8/62,0/10,0/9,1/20,13/80,0/3
Hawaiian,haw,Austronesian,_,V,X,QuantN,454/93,40/72,39/25,14/28,17/19,4/4,22/61,3/2,4/0,10/7,0/4,23/39,1/3,1/4,8/9,57/14,1/0
Haya,hay,Atlantic-Congo,NNum,_,_,NQuant,59/108,30/95,20/47,21/15,9/29,0/9,15/73,1/6,0/2,4/17,1/5,7/54,0/0,5/5,2/18,24/57,1/2
Ancient Hebrew,hbo,Afro-Asiatic,NumN,V,1/2,NQuant,778/2173,2169/448,1661/283,977/253,956/211,463/59,1513/187,222/49,136/42,796/207,92/10,413/208,993/175,668/115,553/44,117/627,18/35
Huichol,hch,Uto-Aztecan,NumN,_,_,QuantN,193/42,94/35,65/11,31/12,39/3,10/2,55/32,6/0,0/0,23/2,1/3,61/25,4/5,8/0,19/2,99/12,0/0
Hebrew,heb,Afro-Asiatic,NumN,V,1/2,NQuant,149/270,168/48,130/10,85/3,77/4,19/0,149/12,13/0,0/1,42/5,5/7,79/40,10/1,10/5,34/4,50/124,0/3
Helong,heg,Austronesian,NNum,_,_,_,145/107,44/110,21/76,15/28,7/41,2/9,26/84,2/4,1/4,4/27,0/9,11/46,1/10,1/17,6/21,12/14,0/0
Hehe,heh,Atlantic-Congo,NNum,V,X,NQuant,87/150,30/93,11/51,26/24,9/34,1/10,15/73,7/3,0/0,11/15,0/6,10/60,2/6,0/10,2/31,22/52,0/3
Fiji Hindi,hif,Indo-European,NumN,_,_,QuantN,643/23,117/10,77/8,43/0,46/0,9/1,79/4,7/0,5/0,22/2,6/0,57/1,1/1,9/0,24/0,91/2,4/0
Kamwe,hig,Afro-Asiatic,NNum,V,1/2,_,348/95,42/100,26/47,15/24,16/30,2/7,26/55,3/4,0/1,3/21,1/5,16/51,1/2,1/5,6/10,38/41,0/2
Hiligaynon,hil,Austronesian,NumN,_,_,QuantN,1337/102,229/39,144/13,96/3,83/11,20/2,163/11,13/0,3/2,45/6,6/8,86/49,11/1,14/4,37/3,216/10,7/0
Hindi,hin,Indo-European,NumN,_,_,QuantN,2493/157,674/37,422/29,253/15,213/13,103/6,383/13,53/3,31/1,206/10,21/0,147/28,149/3,117/4,109/1,252/13,18/1
Hixkaryána,hix,Cariban,_,V,X,QuantN,54/21,61/43,47/26,7/18,26/10,8/2,27/41,6/1,0/1,13/11,4/2,28/20,0/0,4/4,12/3,38/20,1/2
Halia,hla,Austronesian,NumN,_,_,_,571/35,105/15,64/5,35/1,34/3,9/1,79/5,5/0,0/1,20/2,4/2,34/20,3/0,4/0,15/2,35/36,1/0
Matu Chin,hlt,Sino-Tibetan,NNum,_,_,NQuant,65/435,29/100,12/65,4/39,5/39,3/7,10/75,5/3,1/4,4/18,4/2,22/38,2/7,1/9,3/16,13/57,0/4
Hiri Motu,hmo,Pidgin,NNum,_,_,NQuant,314/1403,144/545,57/364,49/161,65/139,16/87,46/386,5/33,12/8,46/149,8/20,57/124,32/67,24/76,10/108,49/257,0/12
Chhattisgarhi,hne,Indo-European,NumN,_,_,QuantN,784/41,134/6,82/4,41/0,46/0,8/0,88/3,7/0,4/0,23/0,7/0,71/1,6/1,7/2,17/0,113/4,6/0
Hmong Njua,hnj,Hmong-Mien,NumN,_,_,QuantN,3517/137,824/64,477/53,291/30,285/27,117/8,460/23,54/5,34/4,198/13,23/6,178/59,173/5,120/20,134/0,216/86,8/1
Hanunoo,hnn,Austronesian,NumN,_,_,QuantN,487/48,109/20,60/15,47/2,43/1,10/0,76/9,7/2,1/0,22/3,3/4,38/21,9/1,6/0,19/2,84/3,1/0
Caribbean Hindustani,hns,Indo-European,NumN,_,_,QuantN,712/17,112/11,70/4,45/1,41/0,7/0,70/4,5/0,4/0,20/2,7/0,56/2,1/1,7/1,15/0,90/3,3/0
Hopi,hop,Uto-Aztecan,NumN,_,_,QuantN,295/27,106/13,66/9,39/2,44/1,11/0,80/5,5/1,0/1,24/1,3/0,69/4,8/0,7/0,30/0,75/6,3/1
Hote,hot,Austronesian,NNum,V,1/2,_,122/52,33/95,7/59,13/20,9/29,4/4,12/72,4/2,1/0,4/20,1/5,10/47,1/1,1/6,2/14,13/9,0/2
Hrangkhol,hra,Sino-Tibetan,NNum,_,_,NQuant,181/802,78/463,63/300,35/174,26/178,5/79,41/302,5/37,2/20,24/150,4/13,30/101,14/142,11/109,14/100,14/181,2/12
Minica Huitoto,hto,Huitotoan,NumN,_,_,QuantN,169/21,101/11,53/10,35/1,40/3,9/3,77/5,8/0,0/0,20/3,7/0,57/12,1/1,7/0,19/2,77/8,2/0
Huambisa,hub,Chicham,NumN,_,_,QuantN,219/41,154/35,125/10,65/5,75/4,18/6,109/22,11/3,1/1,39/5,2/2,89/21,2/2,14/4,31/3,73/13,2/1
Huli,hui,Nuclear Trans New Guinea,NNum,_,_,NQuant,49/68,34/72,10/48,5/22,5/30,0/12,24/40,3/3,1/0,6/16,3/4,23/36,2/2,2/6,3/23,19/32,0/0
Hungarian,hun,Uralic,NumN,_,_,QuantN,1803/141,581/45,341/46,198/22,175/21,98/3,326/37,32/4,16/1,188/17,17/4,122/41,125/1,111/5,101/4,265/6,17/3
Huastec,hus,Mayan,NumN,_,_,QuantN,1247/83,227/41,143/15,101/3,89/3,17/6,150/22,13/1,5/3,46/5,8/6,79/40,6/0,14/3,38/0,182/8,4/0
Murui Huitoto,huu,Huitotoan,NumN,_,_,QuantN,101/12,80/13,51/16,26/2,36/4,8/1,62/3,7/0,0/0,16/4,6/0,57/4,3/1,5/2,17/0,51/5,0/0
San Mateo Del Mar Huave,huv,Huavean,NumN,_,_,QuantN,671/43,110/19,57/7,48/1,42/2,9/0,79/9,7/0,0/0,19/7,5/3,62/18,9/1,9/0,19/0,78/4,3/0
Sabu,hvn,Austronesian,NumN,V,X,QuantN,433/69,103/32,74/15,40/9,41/5,9/2,71/19,8/0,0/3,18/6,3/4,38/20,6/3,8/2,19/1,78/5,3/0
Hawai'i Creole English,hwc,Indo-European,NumN,_,_,QuantN,773/34,112/16,75/11,41/0,44/0,10/0,76/5,6/0,4/1,25/1,3/4,37/22,7/1,8/1,17/0,95/1,1/0
Armenian,hye,Indo-European,NumN,_,_,QuantN,3223/715,1237/68,677/46,390/22,380/28,156/6,644/23,79/4,47/5,287/18,34/11,317/69,174/11,148/17,167/5,573/23,24/1
Iatmul,ian,Ndu,_,V,X,QuantN,98/49,41/63,20/43,18/19,12/23,1/8,29/49,3/4,0/0,8/5,5/1,25/28,3/0,0/4,2/16,41/22,0/0
Iban,iba,Austronesian,NumN,V,X,QuantN,425/77,104/34,79/10,44/6,44/3,8/2,80/10,8/0,0/5,25/1,1/6,38/23,6/3,6/1,21/0,95/7,5/0
Igbo,ibo,Atlantic-Congo,NNum,V,1/2,_,2198/243,164/790,61/472,76/254,36/284,1/128,30/461,5/62,2/35,44/204,3/24,39/210,33/166,23/142,48/99,391/14,2/17
Islander Creole English,icr,Indo-European,NumN,_,_,QuantN,897/37,121/18,83/6,44/0,46/0,9/1,79/7,7/0,4/1,24/2,2/4,49/19,3/1,6/3,17/0,99/4,1/0
Amganad Ifugao,ifa,Austronesian,NumN,_,_,QuantN,455/19,90/18,58/7,33/7,38/3,7/2,62/8,4/0,0/0,19/1,5/2,40/20,6/0,4/0,28/5,56/4,1/0
Batad Ifugao,ifb,Austronesian,NumN,_,_,QuantN,372/19,110/18,56/8,40/7,37/7,7/2,70/7,6/0,0/0,20/4,3/4,39/21,7/2,6/1,17/2,67/2,0/0
Tuwali Ifugao,ifk,Austronesian,NumN,_,_,QuantN,323/29,99/16,52/6,41/3,37/3,9/1,64/11,5/0,0/1,19/2,5/2,30/19,3/1,5/0,15/3,73/2,2/1
Mayoyao Ifugao,ifu,Austronesian,NumN,_,_,QuantN,515/16,111/15,53/8,39/3,42/3,9/1,68/9,5/0,0/0,23/0,5/2,40/22,9/1,7/0,29/1,78/2,4/0
Keley-I Kallahan,ify,Austronesian,NumN,_,_,QuantN,859/97,440/51,271/43,168/23,121/19,85/9,291/31,39/5,21/3,138/11,16/3,107/29,141/9,91/13,96/8,126/3,6/1
Ignaciano,ign,Arawakan,NumN,_,_,QuantN,253/8,147/25,108/6,53/12,64/1,16/2,120/17,10/0,0/0,40/1,6/4,65/35,1/3,9/1,36/1,40/5,0/0
Eastern Canadian Inuktitut,ike,Eskimo-Aleut,NNum,V,2/3,_,160/171,251/145,75/191,61/69,61/57,20/56,95/208,8/18,3/7,58/67,2/13,46/101,30/53,31/38,13/64,62/91,1/2
Ika,ikk,Atlantic-Congo,NNum,_,_,NQuant,105/215,32/97,9/74,18/22,9/33,2/8,13/77,1/6,0/5,9/16,1/5,10/50,0/0,0/5,0/17,21/59,1/1
Ikwere,ikw,Atlantic-Congo,NNum,V,X,QuantN,461/51,27/119,12/72,15/37,9/39,0/12,4/84,1/7,0/5,21/5,0/5,40/33,3/1,4/2,19/12,111/1,1/0
Ila,ilb,Atlantic-Congo,NNum,_,_,NQuant,74/100,29/72,10/59,10/35,10/26,2/9,18/58,3/3,0/0,4/11,0/4,33/25,3/4,3/3,5/27,7/29,0/0
Iloko,ilo,Austronesian,NumN,_,_,QuantN,9154/550,2018/194,1182/183,699/97,656/89,318/26,1111/118,156/16,82/12,554/64,53/16,446/137,465/100,330/80,344/21,839/27,44/5
Imbongu,imo,Nuclear Trans New Guinea,_,_,_,NQuant,62/61,60/62,37/35,14/19,18/19,4/11,15/93,4/2,0/0,11/14,4/3,20/39,0/0,0/8,5/10,17/38,0/1
Inga,inb,Quechuan,NumN,_,_,QuantN,400/17,114/13,70/0,51/1,43/2,11/1,75/5,6/1,0/0,24/3,4/0,58/7,5/0,5/1,21/1,77/10,1/0
Inoke-Yate,ino,Nuclear Trans New Guinea,NumN,_,_,QuantN,152/24,100/18,58/3,62/2,38/3,7/0,67/5,5/0,0/0,18/2,2/0,57/12,0/0,1/0,12/1,20/4,0/0
Tuma-Irumu,iou,Nuclear Trans New Guinea,NNum,_,_,NQuant,75/110,38/87,17/59,10/27,10/27,1/16,33/87,0/7,2/1,3/30,2/6,31/26,2/8,0/9,2/25,12/35,0/2
Ipili,ipi,Nuclear Trans New Guinea,NNum,_,_,NQuant,38/53,27/57,13/44,8/25,11/23,0/11,11/62,2/4,0/0,6/11,0/5,25/23,0/1,2/3,4/19,15/49,0/1
Ikwo,iqw,Atlantic-Congo,NNum,V,X,QuantN,160/116,46/89,15/61,17/22,7/27,0/12,16/73,4/3,0/1,7/18,1/5,12/44,4/1,5/0,20/0,52/15,1/0
Irigwe,iri,Atlantic-Congo,NNum,V,1/2,NQuant,402/109,33/105,15/69,7/41,17/36,0/12,4/85,0/8,2/3,5/19,0/6,6/65,2/7,2/6,3/18,18/48,0/2
Iraqw,irk,Afro-Asiatic,NNum,_,_,NQuant,117/163,59/84,18/57,13/39,12/36,3/9,17/75,2/6,1/0,8/18,3/5,20/56,2/5,4/3,4/21,33/77,2/0
Iraya,iry,Austronesian,NumN,_,_,QuantN,669/53,106/22,66/5,41/3,38/2,11/1,75/8,5/1,1/2,21/5,2/4,33/24,9/1,6/4,18/2,91/5,3/0
Isnag,isd,Austronesian,NumN,_,_,QuantN,409/26,107/20,51/13,44/3,43/1,10/2,66/16,6/0,0/0,18/7,3/4,48/20,8/1,9/0,19/0,77/4,2/0
Icelandic,isl,Indo-European,NumN,V,X,QuantN,201/83,101/39,69/9,32/21,36/10,11/0,48/43,7/0,0/1,22/5,1/6,40/34,6/5,4/4,15/6,115/8,2/0
Italian,ita,Indo-European,NumN,_,_,QuantN,24164/886,3333/300,2043/226,1100/148,1029/155,515/34,1997/100,204/28,105/22,956/152,90/29,671/330,497/127,416/159,443/144,1570/53,122/4
Itawit,itv,Austronesian,NumN,_,_,QuantN,467/45,100/27,68/10,48/3,42/3,10/2,76/12,8/0,0/0,20/2,6/2,53/25,7/2,6/2,19/1,106/6,4/1
Iu Mien,ium,Hmong-Mien,NumN,_,_,QuantN,2997/139,1013/70,644/45,395/21,351/20,125/19,617/18,69/7,42/3,222/17,32/9,273/67,165/11,157/17,172/3,231/201,17/5
Ibatan,ivb,Austronesian,NumN,_,_,QuantN,480/32,112/19,62/7,44/0,43/4,8/4,74/13,7/0,0/1,19/4,3/3,36/17,4/0,7/0,21/2,84/2,3/0
Ivatan,ivv,Austronesian,NumN,_,_,QuantN,432/24,94/19,59/6,42/0,38/3,9/2,71/6,7/0,0/1,22/2,5/2,27/27,9/0,5/0,18/0,70/2,2/2
Sepik Iwam,iws,Sepik,_,V,X,_,58/24,55/45,20/33,23/11,18/22,2/9,28/52,1/6,0/0,9/9,4/4,30/25,0/0,0/8,4/15,23/19,0/0
Ixil,ixl,Mayan,NumN,_,_,QuantN,1348/72,195/47,142/15,78/5,77/1,20/2,142/24,13/1,1/0,37/8,6/7,80/41,8/0,13/4,35/0,163/3,5/0
Izere,izr,Atlantic-Congo,NNum,_,_,NQuant,106/143,34/95,15/59,22/27,8/38,2/10,15/74,0/8,1/2,5/21,1/7,10/51,2/3,0/8,4/30,18/54,2/2
Izii,izz,Atlantic-Congo,NNum,V,X,_,157/145,45/84,8/65,18/21,6/31,0/11,10/78,4/4,0/1,8/18,1/5,16/43,2/3,5/3,17/2,39/30,1/0
Popti',jac,Mayan,NumN,_,_,QuantN,543/19,105/20,63/7,39/1,42/1,10/0,69/6,6/0,0/1,20/2,2/4,47/16,2/0,7/3,19/2,67/0,1/0
Yabem,jae,Austronesian,NNum,_,_,NQuant,79/135,25/96,8/65,4/34,6/33,3/7,8/80,0/6,1/0,4/19,1/5,17/43,2/0,0/8,2/12,16/79,0/2
Jamaican Creole English,jam,Indo-European,NumN,_,_,QuantN,810/42,120/17,77/8,42/2,45/1,9/0,82/4,7/1,4/1,23/3,3/4,50/20,4/1,6/4,18/1,95/3,4/0
Javanese,jav,Austronesian,NumN,V,X,_,1519/689,550/774,549/341,230/278,278/171,141/74,395/413,71/31,35/29,208/178,18/28,149/234,182/55,179/84,229/36,228/217,15/21
Jukun Takum,jbu,Atlantic-Congo,NNum,_,_,NQuant,109/87,53/73,11/72,17/30,5/33,0/10,22/61,1/7,1/4,7/13,2/5,9/57,2/4,1/8,2/18,16/50,0/1
Tol,jic,Jicaquean,NNum,V,X,QuantN,98/73,53/67,22/45,15/26,22/20,3/7,39/38,4/3,1/4,15/9,2/3,17/36,2/3,2/8,1/18,41/20,0/0
Shuar,jiv,Chicham,NumN,_,_,QuantN,109/14,91/18,70/3,36/2,34/6,6/2,62/6,6/1,0/0,16/5,6/0,54/6,1/2,5/4,24/1,57/7,0/2
Machame,jmc,Atlantic-Congo,NNum,_,_,NQuant,138/130,28/94,12/55,19/26,9/36,3/9,10/78,1/6,0/0,4/20,1/5,8/65,2/7,1/8,3/14,19/75,1/0
Jarai,jra,Austronesian,NumN,_,_,QuantN,775/50,122/25,79/6,55/1,48/0,10/2,84/6,7/1,4/1,25/1,3/4,48/20,9/1,9/4,21/0,114/10,4/0
Caribbean Javanese,jvn,Austronesian,_,V,X,_,273/79,46/82,49/37,24/23,29/17,8/4,18/68,8/0,1/4,5/16,1/4,22/35,0/2,8/5,30/3,39/29,1/1
Kara-Kalpak,kaa,Turkic,NumN,_,_,QuantN,3821/288,1217/100,760/55,398/32,423/48,179/19,742/31,92/9,48/9,350/13,47/0,503/19,347/16,223/16,229/15,388/67,25/2
Kabyle,kab,Afro-Asiatic,NumN,_,_,QuantN,488/58,110/21,74/9,49/3,43/1,11/0,82/7,6/2,4/0,20/5,4/2,50/22,7/1,7/3,20/0,87/3,3/0
Kachin,kac,Sino-Tibetan,NNum,_,_,NQuant,391/2188,250/934,386/395,125/334,110/277,68/136,359/377,49/45,24/35,82/222,17/22,84/224,150/152,96/127,117/99,44/225,2/9
Kalaallisut,kal,Eskimo-Aleut,NNum,_,_,_,33/45,37/47,11/32,0/19,7/19,2/6,17/40,0/4,0/0,11/8,1/3,18/25,0/0,1/2,1/13,17/20,0/1
Kannada,kan,Dravidian,NumN,_,_,QuantN,1345/89,320/23,217/12,100/6,125/0,24/0,248/5,16/0,10/0,76/1,16/2,180/10,16/0,12/0,44/1,249/21,3/0
Xaasongaxango,kao,Mande,NNum,V,X,NQuant,108/347,31/112,2/75,14/36,10/35,1/10,14/71,2/5,1/0,9/17,2/5,20/52,1/8,6/5,20/0,20/88,0/1
Bezhta,kap,Nakh-Daghestanian,_,_,_,_,0/0,2/0,4/0,2/1,0/0,1/0,2/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0
Capanahua,kaq,Pano-Tacanan,NumN,_,_,QuantN,195/49,97/29,64/7,26/2,34/2,11/1,64/11,7/1,0/0,19/5,2/3,54/5,2/1,7/3,20/2,65/18,1/2
Georgian,kat,Kartvelian,NumN,_,_,QuantN,330/132,194/37,116/9,63/4,81/1,18/1,94/15,10/0,2/0,35/4,5/5,82/40,5/0,10/4,30/2,165/31,8/1
Kazakh,kaz,Turkic,NumN,_,_,QuantN,1673/176,747/80,463/47,277/21,242/41,102/13,435/23,53/11,31/5,215/7,27/2,179/19,147/55,134/28,127/10,295/32,7/1
Kadiwéu,kbc,Guaicuruan,NumN,_,_,QuantN,388/25,105/18,74/4,40/1,43/2,10/0,79/4,8/0,4/1,22/1,5/1,38/16,0/0,6/3,16/1,88/2,2/0
Kabardian,kbd,Abkhaz-Adyge,_,_,_,NQuant,26/17,8/2,2/1,0/0,3/0,0/0,1/2,2/0,0/0,2/1,0/1,3/4,0/0,0/1,0/0,1/4,0/0
Camsá,kbh,Camsá,NumN,_,_,QuantN,720/26,120/10,69/5,46/1,42/1,10/1,85/2,8/1,0/0,21/1,5/2,78/13,5/1,9/2,19/1,80/2,1/0
Iwal,kbm,Austronesian,NNum,_,_,QuantN,99/66,46/60,12/53,13/24,9/26,1/8,15/56,1/4,0/0,5/19,1/4,11/35,0/0,2/6,2/13,20/11,0/0
Kabiyè,kbp,Atlantic-Congo,NNum,_,_,NQuant,56/99,38/88,14/66,16/32,7/37,2/11,9/69,1/6,0/0,3/18,0/6,13/57,1/7,1/9,1/19,19/66,0/1
Kamano,kbq,Nuclear Trans New Guinea,NumN,_,_,QuantN,357/33,131/17,98/6,43/4,46/2,14/0,122/9,7/1,1/0,34/4,7/1,54/9,8/1,12/2,24/2,90/6,0/2
Kafa,kbr,Ta-Ne-Omotic,NumN,_,_,QuantN,303/29,114/19,58/7,39/18,42/2,8/4,80/2,7/0,0/0,18/3,6/1,70/3,8/1,8/1,17/2,85/7,3/0
Kalanga,kck,Atlantic-Congo,NNum,_,_,NQuant,132/138,23/108,9/65,16/40,11/37,0/9,21/69,1/6,1/2,11/20,1/5,12/51,2/4,5/4,4/24,17/88,0/1
Kutu,kdc,Atlantic-Congo,NNum,_,_,NQuant,82/171,42/95,13/62,9/41,8/36,0/11,21/68,3/7,1/0,14/12,0/7,6/56,1/4,2/10,3/17,30/54,0/2
Makonde,kde,Atlantic-Congo,NNum,_,_,NQuant,80/190,34/106,14/64,15/39,9/37,2/10,6/82,4/3,0/0,8/18,1/6,20/56,1/9,2/7,1/20,16/74,0/2
Tem,kdh,Atlantic-Congo,_,V,X,_,8/12,11/12,5/2,2/0,5/7,0/1,0/9,0/0,0/0,1/1,1/0,6/7,0/0,2/1,2/0,4/6,0/0
Kumam,kdi,Nilotic,NNum,_,_,NQuant,61/189,27/116,4/79,6/41,8/37,1/11,19/71,0/8,1/0,4/22,0/6,11/79,1/3,2/7,1/16,19/77,2/2
Karamojong,kdj,Nilotic,NNum,_,_,NQuant,72/132,30/114,13/63,9/43,7/40,0/12,4/80,0/6,0/0,3/22,0/6,4/74,1/6,1/9,0/20,22/68,0/3
Tsikimba,kdl,Atlantic-Congo,NNum,_,_,NQuant,67/104,43/90,10/60,12/36,9/31,2/10,15/67,5/4,1/3,4/22,0/6,11/46,2/7,0/7,2/16,14/56,0/1
Kekchí,kek,Mayan,NumN,_,_,QuantN,5784/183,1134/86,789/58,420/31,403/43,205/6,727/19,94/3,70/1,368/24,32/10,245/99,306/12,228/24,224/5,389/11,16/2
Kenyang,ken,Atlantic-Congo,NNum,_,_,QuantN,87/145,47/99,21/60,13/27,20/29,1/9,24/66,0/6,0/2,7/18,0/4,9/54,2/5,0/7,0/18,91/3,4/0
West Kewa,kew,Nuclear Trans New Guinea,_,_,_,NQuant,89/74,49/67,20/53,12/16,13/12,1/8,23/60,4/5,0/0,5/16,3/3,23/33,0/1,5/4,1/15,17/28,0/0
Kukele,kez,Atlantic-Congo,NNum,V,X,NQuant,81/91,34/74,7/69,17/23,17/33,4/7,21/48,2/5,0/4,4/18,0/6,9/42,5/1,8/1,19/2,16/56,2/2
Koya,kff,Dravidian,NumN,_,_,QuantN,497/38,126/11,71/2,47/8,42/1,11/2,77/4,6/1,1/0,23/1,5/0,64/5,7/1,8/1,17/2,83/7,0/0
Kube,kgf,Nuclear Trans New Guinea,NNum,V,X,NQuant,81/162,28/84,10/66,6/34,15/30,0/10,19/69,0/7,5/0,5/21,1/6,17/42,1/1,0/8,1/18,18/82,0/3
Kaiwá,kgk,Tupian,NumN,_,_,QuantN,176/32,96/13,60/8,28/3,37/2,10/1,63/9,4/3,0/0,19/1,2/3,41/22,7/1,9/0,18/2,55/7,0/0
Kaingang,kgp,Nuclear-Macro-Je,_,V,X,_,68/55,51/63,23/50,9/33,16/24,1/9,20/53,3/4,3/1,10/14,5/0,36/33,2/1,1/7,4/11,26/34,0/2
